<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200818,000000,0.1504490,0.1504490,0.1504490,0.1504490,0
20200819,000000,0.1514060,0.1514060,0.1514060,0.1514060,0
20200820,000000,0.1509150,0.1509150,0.1509150,0.1509150,0
20200821,000000,0.1520430,0.1520430,0.1520430,0.1520430,0
20200822,000000,0.1528780,0.1528780,0.1528780,0.1528780,0
20200825,000000,0.1531240,0.1531240,0.1531240,0.1531240,0
20200826,000000,0.1532550,0.1532550,0.1532550,0.1532550,0
20200827,000000,0.1553960,0.1553960,0.1553960,0.1553960,0
20200828,000000,0.1547100,0.1547100,0.1547100,0.1547100,0
20200829,000000,0.1533240,0.1533240,0.1533240,0.1533240,0
20200901,000000,0.1515790,0.1515790,0.1515790,0.1515790,0
20200902,000000,0.1508510,0.1508510,0.1508510,0.1508510,0
20200903,000000,0.1517850,0.1517850,0.1517850,0.1517850,0
20200904,000000,0.1553160,0.1553160,0.1553160,0.1553160,0
20200905,000000,0.1542260,0.1542260,0.1542260,0.1542260,0
20200908,000000,0.1549000,0.1549000,0.1549000,0.1549000,0
20200909,000000,0.1556590,0.1556590,0.1556590,0.1556590,0
20200910,000000,0.1554380,0.1554380,0.1554380,0.1554380,0
20200911,000000,0.1544840,0.1544840,0.1544840,0.1544840,0
20200912,000000,0.1533680,0.1533680,0.1533680,0.1533680,0
20200915,000000,0.1533240,0.1533240,0.1533240,0.1533240,0
20200916,000000,0.1542010,0.1542010,0.1542010,0.1542010,0
20200917,000000,0.1543920,0.1543920,0.1543920,0.1543920,0
20200918,000000,0.1544980,0.1544980,0.1544980,0.1544980,0
20200919,000000,0.1548970,0.1548970,0.1548970,0.1548970,0
20200922,000000,0.1566990,0.1566990,0.1566990,0.1566990,0
20200923,000000,0.1571760,0.1571760,0.1571760,0.1571760,0
20200924,000000,0.1572370,0.1572370,0.1572370,0.1572370,0
20200925,000000,0.1587370,0.1587370,0.1587370,0.1587370,0
20200926,000000,0.1579670,0.1579670,0.1579670,0.1579670,0
20200929,000000,0.1621190,0.1621190,0.1621190,0.1621190,0
20200930,000000,0.1640750,0.1640750,0.1640750,0.1640750,0
20201001,000000,0.1618090,0.1618090,0.1618090,0.1618090,0
20201002,000000,0.1583550,0.1583550,0.1583550,0.1583550,0
20201003,000000,0.1600240,0.1600240,0.1600240,0.1600240,0
20201006,000000,0.1594450,0.1594450,0.1594450,0.1594450,0
20201007,000000,0.1604250,0.1604250,0.1604250,0.1604250,0
20201008,000000,0.1596000,0.1596000,0.1596000,0.1596000,0
20201009,000000,0.1589140,0.1589140,0.1589140,0.1589140,0
20201010,000000,0.1570730,0.1570730,0.1570730,0.1570730,0
20201013,000000,0.1568870,0.1568870,0.1568870,0.1568870,0
20201014,000000,0.1575970,0.1575970,0.1575970,0.1575970,0
20201015,000000,0.1575450,0.1575450,0.1575450,0.1575450,0
20201016,000000,0.1586400,0.1586400,0.1586400,0.1586400,0
20201017,000000,0.1585670,0.1585670,0.1585670,0.1585670,0
20201020,000000,0.1587050,0.1587050,0.1587050,0.1587050,0
20201021,000000,0.1579570,0.1579570,0.1579570,0.1579570,0
20201022,000000,0.1561570,0.1561570,0.1561570,0.1561570,0
