<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200214,000000,145.0000000,145.6000000,138.8000000,138.9500000,2172006
20200217,000000,136.0000000,138.6000000,134.4000000,136.5000000,1457329
20200218,000000,134.6000000,135.8500000,133.7000000,133.7000000,1147131
20200219,000000,134.8500000,137.3000000,134.2500000,136.9000000,987746
20200220,000000,138.2000000,139.2000000,135.9000000,135.9000000,776392
20200221,000000,135.0000000,137.4500000,132.6500000,134.6500000,1145397
20200224,000000,124.0000000,129.0500000,121.3000000,128.3500000,2516885
20200226,000000,118.3500000,126.5000000,116.2000000,124.3500000,3270527
20200227,000000,121.5000000,123.5500000,117.3000000,119.3500000,1963116
20200228,000000,112.1000000,115.6500000,110.8500000,114.3000000,2955815
20200302,000000,120.5000000,121.8000000,113.6000000,116.8500000,2300782
20200303,000000,120.9500000,123.7000000,119.8000000,120.8000000,2440691
20200304,000000,121.9500000,122.2000000,117.5000000,118.7000000,1395299
20200305,000000,119.9000000,120.6000000,115.8500000,118.2000000,1129724
20200306,000000,115.0000000,116.6000000,111.5500000,114.8000000,1788296
20200309,000000,106.0000000,109.4500000,101.6000000,106.0000000,3395223
20200310,000000,106.3000000,110.7500000,103.4000000,104.6500000,2556743
20200311,000000,105.9500000,107.8500000,103.3000000,104.7000000,1724143
20200312,000000,97.1000000,97.2000000,83.5000000,86.3000000,5339851
20200313,000000,110.0000000,111.5000000,88.2000000,90.1000000,5237198
20200316,000000,84.9000000,92.8800000,79.6800000,90.8200000,3845025
20200317,000000,94.1000000,94.6800000,84.2400000,87.1800000,2964979
20200318,000000,84.0200000,85.7000000,81.0200000,83.9000000,2320764
20200319,000000,83.5000000,85.3400000,81.2600000,83.8000000,2074919
20200320,000000,88.2600000,89.1800000,85.8000000,87.0200000,2044676
20200323,000000,83.1000000,89.6000000,82.8800000,85.2400000,1783094
20200324,000000,90.5800000,96.1600000,88.6000000,95.6600000,2500104
20200325,000000,102.5000000,104.6000000,95.7800000,103.2000000,2861639
20200326,000000,100.4500000,102.9500000,97.0200000,102.4000000,2059238
20200327,000000,100.5000000,101.5000000,97.6000000,99.7000000,1533517
20200330,000000,99.8000000,100.8500000,96.9200000,99.9000000,1183541
20200331,000000,102.1000000,105.8000000,101.2000000,103.7500000,1485222
20200401,000000,101.0000000,101.7800000,99.5400000,99.8500000,1069663
20200402,000000,100.6000000,103.2200000,99.6900000,101.4400000,1607076
20200403,000000,102.0000000,104.4600000,101.9000000,102.8800000,1074337
20200406,000000,106.8000000,108.8200000,106.2600000,108.0000000,1342410
20200407,000000,113.0000000,114.7000000,109.1000000,109.4200000,1733322
20200409,000000,114.0000000,114.9400000,111.4600000,112.8800000,1554601
20200414,000000,115.5200000,122.7200000,115.5200000,121.9000000,1600270
20200415,000000,123.3000000,124.6200000,116.3600000,117.3800000,2110837
20200416,000000,120.0000000,121.3000000,116.8000000,118.8800000,1156840
20200417,000000,121.0000000,121.6000000,118.0600000,120.2000000,1686101
20200420,000000,121.3000000,122.5000000,119.1400000,121.6400000,1299196
20200421,000000,121.0000000,122.9800000,117.1800000,122.5000000,1922508
20200422,000000,124.3000000,128.7800000,122.6000000,126.4600000,2028706
20200423,000000,132.2000000,140.9000000,131.7000000,140.9000000,3853541
20200424,000000,138.5000000,138.8000000,131.4800000,131.4800000,2567000
20200427,000000,136.8200000,138.2600000,116.0400000,132.1000000,3379532
20200428,000000,118.2000000,119.9600000,94.4600000,97.6000000,17815562
20200429,000000,96.8000000,97.0000000,84.0800000,89.7300000,10470072
20200430,000000,95.3000000,95.6900000,89.1600000,90.4000000,4815781
20200504,000000,88.0000000,89.0000000,85.0100000,88.3300000,3606176
20200505,000000,89.1400000,89.6100000,85.5700000,87.5000000,2683034
20200506,000000,87.3100000,87.7900000,81.6100000,82.2600000,3978647
20200507,000000,83.0000000,85.5300000,80.0800000,84.2100000,3312349
20200508,000000,86.1600000,88.8000000,83.1500000,84.1800000,3331845
20200511,000000,94.2000000,94.3300000,89.7000000,91.1900000,4471702
20200512,000000,90.5000000,92.0100000,86.1800000,86.6000000,3014690
20200513,000000,85.3800000,86.8300000,81.3800000,85.6200000,4099281
20200514,000000,82.0300000,87.5900000,82.0000000,83.7500000,2318586
20200515,000000,84.0900000,84.7800000,72.0000000,77.0000000,5668078
20200518,000000,78.4900000,84.2300000,76.2900000,84.0000000,4424966
20200519,000000,85.5500000,85.7800000,81.6300000,82.3600000,2171116
20200520,000000,82.2000000,87.0200000,81.9000000,85.7500000,2230029
20200521,000000,85.0200000,85.1600000,83.2300000,83.2300000,1322176
20200522,000000,82.4500000,84.1900000,81.8100000,83.3000000,1663560
20200525,000000,84.9000000,87.1500000,84.3700000,87.1500000,1462635
20200526,000000,82.5600000,86.9000000,81.5700000,86.9000000,2416158
20200527,000000,86.9700000,91.7900000,86.3500000,89.2500000,2283988
20200528,000000,91.1000000,94.1400000,89.9300000,93.9700000,2632253
20200529,000000,93.3000000,94.5600000,90.5200000,94.5600000,2194489
20200602,000000,96.0000000,97.6600000,90.7200000,92.6200000,2577076
20200603,000000,91.1100000,95.3400000,90.6200000,94.4500000,2075721
20200604,000000,93.8900000,96.4700000,93.5000000,95.6500000,1717915
20200605,000000,96.2500000,97.4400000,92.2100000,95.8800000,2755712
20200608,000000,90.0000000,97.4800000,88.7800000,97.4800000,3631422
20200609,000000,97.3000000,99.3300000,94.5700000,94.8200000,2434777
20200610,000000,95.2500000,95.8900000,92.5200000,93.4000000,1596149
20200611,000000,91.8400000,93.2800000,89.8400000,91.7500000,1379708
20200612,000000,90.4000000,93.5100000,90.2200000,92.1300000,1284704
20200615,000000,90.5500000,98.5000000,89.1500000,98.4000000,2287710
20200616,000000,101.0000000,102.6000000,98.0300000,99.4500000,2415148
20200617,000000,99.9000000,104.5000000,99.6400000,104.5000000,2715577
20200618,000000,99.0000000,101.9000000,29.9000000,39.9000000,36781448
20200619,000000,30.0200000,33.7100000,19.2600000,25.8200000,36286214
20200622,000000,14.0000000,18.7000000,12.9940000,14.4400000,21930379
20200623,000000,13.0900000,18.8400000,13.0500000,17.5000000,9221279
20200624,000000,18.8300000,19.9780000,11.3520000,11.9800000,11460605
20200625,000000,11.3000000,13.6680000,2.4000000,3.0035000,20924511
20200626,000000,2.9000000,2.9505000,1.0828000,1.4026000,14530295
20200629,000000,1.7500000,4.1800000,1.5202000,3.5250000,24613450
20200630,000000,3.9800000,9.2880000,3.9500000,6.8950000,31871938
20200701,000000,8.1500000,8.4990000,4.0000000,4.2550000,19978682
20200702,000000,3.6510000,4.0345000,2.6005000,2.8625000,12030902
20200703,000000,3.1500000,3.7400000,3.1500000,3.2810000,5997246
20200706,000000,2.8700000,2.9640000,2.3005000,2.4415000,5726263
20200707,000000,2.3850000,3.4995000,2.0330000,3.2145000,11051145
20200708,000000,3.2100000,3.4895000,2.7100000,2.7600000,5013566
20200709,000000,2.6890000,2.9495000,2.4500000,2.4900000,2667611
20200710,000000,2.5295000,2.6495000,2.3005000,2.4750000,2041489
20200713,000000,2.4800000,2.5800000,2.3525000,2.4000000,1606781
20200714,000000,2.3600000,2.4480000,2.3100000,2.3790000,770747
20200715,000000,2.3800000,2.4185000,2.1700000,2.2310000,1438745
20200716,000000,2.2020000,2.2435000,1.9856000,2.0750000,1862205
20200717,000000,2.0500000,2.0895000,1.8914000,1.9362000,2013771
20200720,000000,1.8502000,1.8998000,1.5000000,1.5426000,2803382
20200721,000000,1.5002000,2.0500000,1.5002000,1.8476000,3327454
20200722,000000,1.8480000,1.9900000,1.6800000,1.7450000,1710550
20200723,000000,1.7020000,1.7952000,1.6502000,1.7000000,686667
20200724,000000,1.6504000,2.1000000,1.5542000,2.0640000,2386850
20200727,000000,2.2200000,2.6995000,1.7700000,1.8250000,3824960
20200728,000000,1.8494000,1.8998000,1.7980000,1.8554000,514221
20200729,000000,1.8478000,2.1885000,1.8062000,2.0500000,1514298
20200730,000000,2.0200000,2.0785000,1.8302000,1.9100000,838374
20200731,000000,1.8602000,1.9998000,1.8602000,1.9392000,350721
20200803,000000,1.9000000,1.9698000,1.8800000,1.9120000,331887
20200804,000000,1.9022000,1.9498000,1.8602000,1.9200000,391173
20200805,000000,1.9010000,1.9648000,1.8602000,1.9226000,296768
20200806,000000,1.8752000,1.9318000,1.7502000,1.8500000,444939
20200807,000000,1.8100000,1.8818000,1.7080000,1.7900000,316752
20200810,000000,1.8288000,1.8296000,1.6500000,1.7220000,726588
20200811,000000,1.6700000,1.7380000,1.6002000,1.6336000,785239
20200812,000000,1.6300000,1.6486000,1.5578000,1.6000000,588612
20200813,000000,1.5700000,1.5716000,1.4002000,1.4526000,1403770
20200814,000000,1.4102000,1.4478000,1.2502000,1.3400000,1201935
20200817,000000,1.2830000,1.3360000,1.1800000,1.2100000,1096314
20200818,000000,1.1500000,1.4798000,1.0950000,1.2700000,2310541
20200819,000000,1.2748000,1.4960000,1.2502000,1.3550000,1176106
20200820,000000,1.3748000,1.4148000,1.2502000,1.3140000,640738
20200821,000000,1.2900000,1.3786000,1.2202000,1.2800000,968547
20200824,000000,1.2700000,1.3102000,1.2102000,1.2402000,657806
20200825,000000,1.2200000,1.2588000,1.1194000,1.1328000,954304
20200826,000000,1.1222000,1.1398000,1.0202000,1.0350000,1198713
20200827,000000,1.0272000,1.0736000,1.0102000,1.0200000,625626
20200828,000000,1.0100000,1.0200000,0.7900000,0.8151000,2375542
20200831,000000,0.7200000,0.7400000,0.5820000,0.5990000,2428681
20200901,000000,0.5900000,0.7789000,0.5711000,0.7510000,1980382
20200902,000000,0.7611000,1.3600000,0.7601000,1.2820000,5868884
20200903,000000,1.2720000,1.4998000,1.0010000,1.0332000,4163583
